船 长 	captain
当 了 一 辈 子 了 	mm-hmm . all my life
你 来 这 里 多 久 了 ?	how long have you been here ?
小 时 候 就 来 了 大 概 三 岁 吧 	since i was very little . three , i think
我 和 我 妈 妈 被 卖 给 赫 特 人 歌 杜 拿 在 飞 行 比 赛 中 他 把 我 们 输 给 了 别 人 	my mom and i were sold to gardulla the hutt ... but she lost us betting on the podraces
你 是 奴 隶 ?	you 're a slave ?
我 是 个 人 我 的 名 字 是 安 纳 金 	i 'm a person , and my name is anakin
对 不 起 	i 'm sorry
我 还 是 不 太 明 白 这 个 地 方 对 我 来 说 太 奇 怪 了 	i do n't fully understand . this is a strange place to me
我 拿 到 了 	i got ya . -- hey !
什 么 ? 敲 它 的 鼻 子 	hit the nose
你 要 的 是 T-14 超 光 速 引 擎 你 真 走 运 	a t-14 hyperdrive generator
这 东 西 只 有 我 这 里 有 	i 'm the only one hereabouts who has one
不 过 你 还 是 买 艘 新 飞 船 那 样 更 合 算 	but thee might as well buy a new ship . it would be cheaper , i think , huh
说 到 这 个 ... 你 打 算 怎 样 付 款 呢 ?	saying of which ... how 's thee gonna pay for all this , huh ?
我 有 两 万 的 共 和 国 信 用 额 	i have 20,000 republic dataries
共 和 国 信 用 ?	republic credits ?
共 和 国 的 信 贷 在 这 里 不 通 用 我 要 比 较 实 在 的 	republic credits are no good out here . i need something more real
我 没 有 其 它 东 西 了 但 信 用 是 可 用 的 	i do n't have anything else , but credits will do fine
不 那 不 行 	no , they wo n't
信 用 可 用 	credits will do fine
不 信 用 不 行 	no , they wo n't !
你 以 为 你 是 绝 地 武 士 吗 ? 就 像 这 样 子 挥 挥 手 吗 ?	what , you think you 're some kind of jedi , waving your hand around like that ?
我 可 是 陶 达 人 心 灵 控 制 对 我 无 效 我 要 现 金 	i 'm a toydarian . mind tricks do n't work on me . only money
没 钱 就 没 零 件 没 交 易 	no money , no parts , no deal
我 可 告 诉 你 这 没 有 人 有 T-14 引 擎 了 	and no one else has a t-14 hyperdrive , i promise you that
我 能 够 生 存 这 么 久 是 因 为 我 精 于 手 艺 	would n't have lasted long anyways if i was n't so good at building things
我 们 走 吧 加 加 	we 're leaving . jar jar
认 识 你 很 高 兴 安 纳 金 	i 'm glad to have met you , anakin
认 识 你 我 也 很 高 兴 	i was glad to meet you too
外 来 人 他 们 以 为 我 们 什 么 都 不 懂 	outlanders . they think we know nothing
他 们 对 我 挺 好 的 	they seemed nice to me
清 洗 货 架 然 后 就 回 家 吧 	clean the racks then you can go home
飞 船 上 有 没 有 贵 重 物 品 ?	and you 're sure there 's nothing left on board ?
飞 船 上 有 些 食 粮 补 给 	a few containers of supplies
女 王 的 外 衣 也 许 值 钱 但 肯 定 不 够 交 易 ... 那 个 引 擎 所 需 的 金 额 数 量 	the queen 's wardrobe , maybe , but not enough for you to barter with ... not in the amount you 're talking about
好 吧 没 关 系 我 相 信 一 定 会 有 别 的 办 法 	all right . i 'm sure another solution will present itself
我 一 会 再 跟 你 联 系 	i 'll check back later
不 能 去 不 能 去 	noah gain . noah gain
这 里 的 人 都 是 疯 子 	da beings hereabouts , cawazy !
他 们 会 抢 劫 我 们 的 	wesa be wobbed un crunched
不 会 的 我 们 没 有 什 么 值 钱 的 东 西 这 就 是 我 们 的 问 题 	not likely . we have nothing of value . that 's our problem
你 打 算 要 付 钱 ?	are you going to pay for that ?
他 值 7 个 乌 比 奥 ( 货 币 )	it costs seven wupiupi
这 是 你 的 吗 ?	is this yours ?
是 谁 的 ...	who , mesa ...
当 心 呀 泽 布 巴 	careful , sebulba
他 可 是 个 厉 害 的 外 星 人 	he 's a big time outlander
在 比 赛 之 前 我 可 不 想 见 到 你 送 命 	i 'd hate to see you diced before we race again
下 一 次 我 们 比 赛 的 时 候 小 子 你 就 要 完 蛋 了 	next time we race , boy , it will be the end of you
你 要 不 是 个 奴 隶 我 早 就 宰 了 你 了 	if you were n't a slave , i 'd squash you now
是 啊 那 么 遗 憾 的 是 你 就 得 为 我 的 命 赔 钱 了 	yeah , it'd be a pity if you had to pay for me
你 好 	hi
你 好 吗 	hi there
你 的 朋 友 差 点 变 成 了 烂 桔 子 了 	your buddy here was about to be turned into orange goo
他 挑 起 了 一 场 争 斗 和 一 个 德 格 人 ... 一 个 特 别 危 险 的 德 格 人 叫 泽 布 巴 	he picked a fight with a dug ... an especially dangerous dug called sebulba
我 不 喜 欢 打 架 能 不 打 还 是 不 打 的 好 	mesa haten crunchen . das da las ting mesa want
虽 然 这 样 这 小 子 是 对 的 你 没 少 惹 麻 烦 	nevertheless , the boy is right . you were heading into trouble
谢 谢 你 我 的 小 朋 友 	thanks , my young friend
但 是 ... 可 我 没 做 什 么 错 事 啊 	but mesa doen nutten !
沙 暴 会 减 慢 他 们 的 速 度 	this storm will slow them down
真 糟 糕 	looks pretty bad
什 么 事 ?	panaka
收 到 总 部 的 消 息 	receiving a message from home
我 们 会 等 着 的 	we 'll be right there
给 你 你 会 喜 欢 这 些 水 果 的 	here , you 'll like these pallies
给 你 	here
谢 谢 	thank you
噢 我 的 骨 头 又 疼 了 	my bones are aching
沙 暴 马 上 就 要 来 了 快 点 回 家 吧 	storm 's coming up , ani . you better get home quick
你 们 有 防 风 的 地 方 吗 ?	do you have shelter ?
我 们 回 飞 船 去 	we 'll head back to our ship
远 不 远 ?	is it far ?
在 市 镇 外 面 	it 's on the outskirts
你 们 没 时 间 赶 回 飞 船 了 	you 'll never reach the outskirts in time
沙 风 暴 要 来 了 是 非 常 非 常 危 险 的 	sandstorms are very , very dangerous
来 吧 我 带 你 们 去 我 们 家 	come on . i 'll take you to my place
妈 妈 	mom !
妈 妈 我 回 来 了 	mom , i 'm home !
噢 这 真 舒 服 	ah , dissen cozy
他 们 是 我 的 朋 友 妈 妈 	these are my friends , mom
你 好 	hello
我 叫 奎 刚 金 	i 'm qui-gon jinn
我 正 在 制 造 一 个 机 器 人 要 看 看 吗 ?	i 'm building a droid . you wanna see ?
是 你 儿 子 让 我 们 来 这 儿 躲 避 沙 暴 的 	your son was kind enough to offer us shelter
来 呀 看 看 我 的 3PO	come on . i 'll show you 3po
怎 么 样 不 错 吧 ?	is n't he great ?
我 还 没 做 完 呢 	he 's not finished yet
真 是 太 棒 了 	he 's wonderful
你 真 的 喜 欢 ?	you really like him ?
他 是 公 关 机 器 人 能 帮 助 妈 妈 你 看 	he 's a protocol droid to help mom . watch
人 都 哪 儿 去 了 ?	where is everybody ?
你 好 	oh , hello
你 好 我 是 C-3PO 公 关 机 器 人 	i am c-3po , human cyborg relations
愿 意 为 你 效 劳 ?	how might i serve you ?
他 太 完 美 了 	he 's perfect . -- oh . perfect
完 美 ? 等 沙 暴 过 去 了 我 带 你 去 看 看 我 的 赛 艇 是 我 制 作 的 	when the storm is over , i 'll show you my racer
这 个 地 方 好 像 有 些 不 平 	i 'm not sure this floor is entirely stable
你 好 我 们 好 像 没 有 见 过 面 的 	hello . i do n't believe we have been introduced
R2	r2-d2
D2 很 高 兴 认 识 你 	a pleasure to meet you
我 是 C-3PO 公 关 机 器 人 	i am c-3po , human cyborg relations
对 不 起 你 说 ' 赤 裸 ' ? ' 赤 裸 ' 是 什 么 意 思 ?	i beg your pardon , but what do you mean , " naked " ?
我 的 内 部 零 件 裸 露 ?	my parts are showing ?
我 的 上 帝 	my goodness !
纳 布 星 的 人 民 死 伤 惨 重 	the death toll is catastrophic
我 们 还 是 让 步 吧 	we must bow to their wishes
你 们 必 须 和 我 联 系 	you must contact me
是 个 圈 套 不 要 回 覆 	it 's a trick . send no reply
什 么 信 息 也 不 要 发 过 去 	send no transmissions of any kind
他 们 想 利 用 通 讯 信 号 来 确 定 我 们 的 位 置 	it sounds like bait to establish a connection trace
如 果 是 真 的 呢 ? 真 的 死 伤 惨 重 呢 ?	what if it is true , and the people are dying ?
我 们 的 时 间 不 多 了 	either way , we 're running out of time
塔 普 尼 是 人 口 稀 疏 	tatooine is sparsely populated
如 果 位 置 正 确 定 能 找 到 他 们 	if the trace was correct , i will find them quickly , master
先 对 付 绝 地 武 士 	move against the jedi first
到 时 候 你 就 轻 而 易 举 地 把 女 王 带 到 纳 布 星 来 ... 签 署 协 议 了 	you will then have no difficulty in taking the queen to naboo to sign the treaty
我 们 终 于 可 以 向 绝 地 武 士 显 露 身 份 了 	at last we will reveal ourselves to the jedi
可 以 有 机 会 报 仇 了 	at last we will have revenge
你 已 经 训 练 有 素 了 我 的 小 徒 弟 	you have been well trained , my young apprentice
他 们 不 是 你 的 对 手 	they will be no match for you
他 们 在 每 一 个 奴 隶 的 体 内 都 安 装 了 一 个 发 射 器 	all slaves have a transmitter placed inside their bodies somewhere
我 想 做 一 个 扫 描 器 把 我 的 发 射 器 找 出 来 	i 've been working on a scanner to try and locate mine
要 是 逃 跑 的 话 ...	any attempt to escape ...
就 会 被 发 射 器 炸 死 	and they blow you up !
太 没 礼 貌 了 	how wude !
真 没 想 到 银 河 系 还 有 奴 隶 制 	i ca n't believe there 's still slavery in the galaxy
共 和 国 有 反 奴 隶 法 啊 ...	the republic 's antislavery laws ...
共 和 国 管 不 到 我 们 这 儿 	the republic does n't exist out here
我 们 要 生 存 就 得 靠 自 己 	we must survive on our own
对 不 起 	excuse me
你 们 有 谁 看 过 飞 艇 赛 吗 ?	has anybody ever seen a podrace ?
马 拉 斯 代 尔 星 球 有 飞 艇 赛 	they have podracing on malastare
速 度 很 快 非 常 危 险 	very fast , very dangerous
我 是 唯 一 能 开 的 人 类 	i 'm the only human who can do it
那 你 得 有 绝 地 武 士 的 反 应 速 度 才 行 	you must have jedi reflexes if you race pods
别 这 么 吃 东 西 	do n't do that again
你 是 个 绝 地 武 士 对 吧 ?	you 're a jedi knight , are n't you ?
你 怎 么 知 道 的 ?	what makes you think that ?
我 看 见 你 的 激 光 剑 了 	i saw your laser sword
只 有 绝 地 武 士 才 有 这 种 武 器 	only jedis carry that kind of weapon
那 也 许 我 是 杀 了 绝 地 武 士 缴 获 的 呢 	perhaps i killed a jedi and took it from him
那 是 不 可 能 的 	i do n't think so
没 有 人 能 杀 得 了 绝 地 武 士 	no one can kill a jedi
但 愿 你 说 的 是 对 的 	i wish that were so
有 一 次 我 梦 见 我 自 己 成 了 绝 地 武 士 	i had a dream i was a jedi
回 来 解 放 所 有 的 奴 隶 	i came back here and freed all the slaves
你 们 是 来 解 放 我 们 的 吗 ?	have you come to free us ?
不 很 遗 憾 	no , i 'm afraid not
我 觉 得 你 们 是 要 不 然 你 们 来 这 儿 干 什 么 ?	i think you have . why else would you be here ?
我 并 不 想 欺 骗 你 啊 安 纳 金 	i can see there 's no fooling you , anakin
我 们 是 要 到 银 河 系 的 首 府 科 斯 肯 特 去 执 行 一 项 重 要 任 务 	we 're on our way to coruscant , the central system in the republic ... on a very important mission
那 你 们 怎 么 跑 到 银 河 系 的 外 围 来 了 ?	how did you end up out here in the outer rim ?
我 们 的 飞 船 坏 了 这 里 好 修 理 飞 船 	our ship was damaged , and we 're stranded here until we can repair it
我 能 帮 你 们 我 什 么 都 会 修 	i can help . i can fix anything
我 相 信 你 会 	i believe you can
可 是 我 们 得 需 要 搞 到 所 需 要 的 零 件 	but first we must acquire the parts we need
但 是 我 们 又 没 钱 去 买 	wit no-nutten mula to trade
那 些 小 商 贩 一 定 有 某 些 弱 点 我 们 可 以 利 用 	these junk dealers must have a weakness of some kind
赌 博 他 们 为 了 赛 艇 比 赛 什 么 东 西 都 愿 意 赌 	gambling . everything here revolves around betting on those awful races
飞 梭 赛 车 	podracing
我 们 可 以 利 用 他 们 的 贪 心 	greed can be a powerful ally
我 造 的 飞 艇 是 速 度 最 快 的 	i built a racer . it 's the fastest ever
明 天 嘣 嗒 前 夕 有 场 大 赛 	there 's a big race tomorrow on boonta eve
你 们 帮 我 报 名 吧 	you could enter my pod
安 纳 金 瓦 图 不 会 同 意 的 	anakin , watto wo n't let you
瓦 图 不 知 道 我 造 了 赛 艇 	watto does n't know i 've built it
就 说 是 你 们 的 赛 艇 想 办 法 让 他 们 允 许 我 开 就 行 了 	you could make him think it was yours ... and get him to let me pilot it for you
我 不 想 让 你 去 那 太 可 怕 了 	i do n't want you to race . it 's awful
每 次 瓦 图 让 你 比 赛 都 让 我 担 心 死 了 	i die every time watto makes you do it
可 是 妈 妈 我 非 常 喜 欢 	but , mom , i love it
再 说 赢 了 奖 金 还 可 以 帮 他 们 买 零 件 	the prize money would more than pay for the parts they need
安 纳 金 	anakin
你 妈 妈 是 对 的 	your mother 's right
有 谁 对 共 和 国 比 较 友 好 可 以 帮 助 我 们 的 吗 ?	is there anyone friendly to the republic who can help us ?
没 有 	no
妈 妈 你 不 是 说 宇 宙 中 最 大 的 问 题 就 是 人 们 不 互 相 帮 助 吗 ?	mom , you say the biggest problem in this universe is nobody helps each other
奎 刚 他 是 不 想 让 你 的 儿 子 去 冒 险 	i 'm sure qui-gon does n't want to put your son in danger
我 们 会 另 想 办 法 的 	we 'll find some other way
不 没 有 别 的 办 法 	there is no other way
虽 然 我 不 愿 意 让 他 去 可 他 能 帮 助 你 们 	i may not like it , but he can help you
他 注 定 是 要 帮 助 你 们 的 	he was meant to help you
你 真 想 这 么 干 吗 ?	are you sure about this ?
把 我 们 的 命 运 寄 托 在 一 个 孩 子 身 上 	trusting our fate to a boy we hardly know ?
女 王 是 不 会 同 意 的 	the queen will not approve
没 必 要 让 女 王 知 道 	the queen does n't need to know
我 也 不 同 意 	well , i do n't approve
这 孩 子 说 你 们 要 资 助 他 参 加 比 赛 	the boy tells me you want to sponsor him in the race
你 们 用 什 么 资 助 ?	how can you do this ?
不 会 是 用 共 和 国 信 贷 吧 ?	not on the republic credits , i think
我 用 我 的 飞 船 作 抵 压 作 参 赛 费 	my ship will be the entry fee
不 错 不 错 	not bad !
一 艘 露 比 亚 ?	not bad , huh ? nubian , huh ?
飞 船 状 况 良 好 只 是 缺 一 点 零 件 	it 's in good order , except for the parts i need
